TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME,Ratio,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
61.32,2.5,1,1,3.0,pause,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,61.32,0.3764705882352941,0.1087462324315025,0.003268426723254613,-0.10547780570824788,0.18400000000000002,0.092,-0.09200000000000003,0.08955645422477229,0.1037011250947651,0.014144670869992812,0.06530713367531774,0.07438730440581458,0.009080170730496842
65.84,4.5,1,1,3.0,pause,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,65.84,0.5647058823529412,0.09103149347253349,0.0165677233371478,-0.07446377013538569,0.22800000000000004,0.18,-0.04800000000000004,0.09371856338587056,0.07608152362777931,-0.01763703975809125,0.06523118351635485,0.05979719455516197,-0.005433988961192876
79.02,10.25,1,1,3.0,pause,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,79.02,0.5882352941176471,0.0447344157507991,0.003089939601636972,-0.041644476149162134,0.488,0.10800000000000001,-0.38,0.09598262172476302,0.08384136415907018,-0.012141257565692842,0.07170115465146006,0.06646693805427621,-0.005234216597183844
88.75,13.0,1,1,3.0,close,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,88.26,0.5176470588235295,0.047425322750974906,0.01127092249868572,-0.036154400252289186,0.172,0.164,-0.00799999999999998,0.0842737859562558,0.07468570152180855,-0.009588084434447253,0.06740255478693788,0.06603977040773043,-0.001362784379207449
95.79,17.5,1,1,4.0,dropin,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,95.78,0.4117647058823529,0.0815325000175465,0.03136974147135322,-0.05016275854619328,0.5,0.388,-0.11199999999999999,0.07127310778278176,0.08287483493657642,0.011601727153794664,0.06212914334345745,0.06663362350264881,0.004504480159191367
111.57,25.625,1,1,1.0,trade,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.57,0.5058823529411764,0.07086577159774464,0.014613601256381888,-0.05625217034136275,0.40800000000000003,0.172,-0.23600000000000004,0.09634122890007726,0.08104059091613096,-0.015300637983946305,0.07186246394587562,0.06382024830488683,-0.008042215640988781
115.11,27.625,1,1,1.0,trade,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.11,0.49411764705882355,0.01395090225151333,0.03539596050160969,0.021445058250096356,0.21599999999999997,0.23200000000000004,0.01600000000000007,0.07870692082063172,0.08740599213155029,0.008699071310918571,0.061582260171624215,0.0664451987267107,0.004862938555086488
118.85,29.625,1,1,1.0,trade,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85,0.5176470588235295,0.022067746267237835,0.014141246002056903,-0.007926500265180932,0.22800000000000004,0.172,-0.05600000000000005,0.08800806104111487,0.08129593437860433,-0.006712126662510545,0.0713907331906177,0.06530059429823794,-0.006090138892379762
133.16,37.0,1,1,2.0,trade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,133.15,0.4470588235294118,0.04417731573024293,0.03237322601902198,-0.011804089711220947,0.4720000000000001,0.284,-0.1880000000000001,0.08554443918654905,0.08704697137866682,0.001502532192117767,0.06869557672718128,0.07015513816291322,0.0014595614357319348
138.88,40.0,1,1,2.0,trade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,138.88,0.4588235294117647,0.05167993422532097,0.024089503244535095,-0.027590430980785872,0.44399999999999995,0.22000000000000003,-0.22399999999999992,0.0938342868056347,0.08867423738168803,-0.005160049423946669,0.07297781168175761,0.07236667692748118,-0.0006111347542764323
