,Participant,Condition,Music,mQoM,aware_body,aware_movement,aware_others_moving,Motion_seen,Motion_seen_Max
45,ADQ046,Hall,Schnittke,0.0803811700478985,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.0672631797004999,0.0672631797004999
46,ADQ047,Hall,Schnittke,0.09180060077885002,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.10499859857814901,0.13534033916127824
47,ADQ048,Hall,Schnittke,0.07749237428339875,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.0849679637518522,0.10229422192575843
48,ADQ049,Hall,Schnittke,0.16985047804785441,Intermittently,Yes and I moved more than usual,Yes and they moved more than usual,0.0947210198933806,0.0947210198933806
49,ADQ050,Hall,Schnittke,0.08474081538014253,Not at all,Not aware of movement,Not aware of others' movement,0.0748087815051989,0.0748087815051989
50,ADQ051,Hall,Schnittke,0.051291772994210616,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.10558906240532512,0.16861351029712562
51,ADQ052,Hall,Schnittke,0.11749298743256854,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.1348056428494935,0.1770649934683128
52,ADQ053,Hall,Schnittke,0.08142795531313532,Not at all,Yes and I moved a normal amount,Not aware of others' movement,0.10952181123800545,0.16861351029712562
53,ADQ054,Hall,Schnittke,0.07754456929140781,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.08145978921316949,0.09784815061886673
54,ADQ055,Hall,Schnittke,0.09727452625047847,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.0672631797004999,0.0672631797004999
55,ADQ056,Hall,Schnittke,0.077626833176397,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.12340982399677197,0.12340982399677197
56,ADQ057,Hall,Schnittke,0.08602248508661071,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.06507142780747224,0.06507142780747224
57,ADQ058,Hall,Schnittke,0.11166939478146301,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
58,ADQ059,Hall,Schnittke,0.10770360092534333,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09842789431965225,0.09842789431965225
59,ADQ060,Hall,Schnittke,0.06502379291650791,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08485135014975402,0.08485135014975402
60,ADQ061,Hall,Schnittke,0.07153921279314024,Rarely,Not aware of movement,Not aware of others' movement,0.08352523906133852,0.10591546782101671
61,ADQ062,Hall,Schnittke,0.06764170557794595,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09280326976441444,0.13439343576987273
62,ADQ063,Hall,Schnittke,0.1684421296394314,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.062004869111247043,0.07123562614440741
63,ADQ064,Hall,Schnittke,,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09312677587087768,0.16985047804785441
64,ADQ065,Hall,Schnittke,0.08944854028024819,Not at all,Not aware of movement,Yes and they moved less than usual,0.08630295524230218,0.1453000021083127
65,ADQ066,Hall,Schnittke,0.1770649934683128,Rarely,Yes and I moved a normal amount,Yes and they moved a normal amount,0.11338158599088699,0.13466988047974798
66,ADR067,Hall,Schnittke,0.10229422192575843,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.0893155987507789,0.13439343576987273
67,ADR068,Hall,Schnittke,0.09883087996268043,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
68,ADR069,Hall,Schnittke,0.12027783505955646,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09563178927910297,0.1430052744686302
69,ADR070,Hall,Schnittke,0.07040348934842662,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.1056494264234052,0.1684421296394314
70,ADR071,Hall,Schnittke,0.0748087815051989,Not at all,Not aware of movement,Not aware of others' movement,0.08474081538014253,0.08474081538014253
71,AEQ077,Hall,Schnittke,,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.06838221254215993,0.06950124538381997
72,AEQ078,Hall,Schnittke,0.13534033916127824,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.10253160786928406,0.10949638536682753
73,AEQ079,Hall,Schnittke,0.07661415736675056,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.08005420222183561,0.09461193147783048
74,AEQ080,Hall,Schnittke,0.08557890083026282,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,0.0749682664618231,0.08755396752167391
75,AEQ081,Hall,Schnittke,0.09328281309858097,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.08709976548871327,0.12027783505955646
76,AEQ082,Hall,Schnittke,0.06184874877173559,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.09931698964520086,0.12027783505955646
77,AEQ083,Hall,Schnittke,0.08755396752167391,Continuously,Yes and I moved more than usual,Yes and they moved more than usual,0.1035152695880915,0.1316840948354307
78,AEQ084,Hall,Schnittke,0.0718919922640337,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.0735088233575886,0.07661415736675056
79,AEQ085,Hall,Schnittke,0.10519264904293375,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
80,AEQ086,Hall,Schnittke,,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.0958856818467639,0.11166939478146301
81,AEQ087,Hall,Schnittke,0.06113501030166031,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.09076457458424175,0.10591546782101671
82,AEQ088,Hall,Schnittke,0.06950124538381997,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.12340982399677197,0.12340982399677197
83,AEQ089,Hall,Schnittke,0.0860590588695848,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.06843533691223672,0.08557890083026282
84,AER090,Hall,Schnittke,0.09461193147783048,Intermittently,Yes and I moved a normal amount,Yes and they moved more than usual,0.08861300699493964,0.10591546782101671
85,BDQ092,Virtual,Schnittke,0.24469976239185842,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
86,BDQ093,Virtual,Schnittke,0.3120174695796691,,,,,
87,BEQ095,Virtual,Schnittke,0.09366713641425431,Intermittently,Yes and I moved more than usual,Not aware of others' movement,,
88,BEQ096,Virtual,Schnittke,0.09827781043093374,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
89,BEQ097,Virtual,Schnittke,0.0890948558272498,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,,
90,BEQ098,Virtual,Schnittke,0.1400730284775448,Continuously,Yes and I moved a normal amount,Not aware of others' movement,,
91,BEQ099,Virtual,Schnittke,0.08875377233149549,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
92,BEQ100,Virtual,Schnittke,0.10252562082897963,Rarely,Not aware of movement,Not aware of others' movement,,
93,BEQ101,Virtual,Schnittke,0.10900190244272055,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
94,BEQ102,Virtual,Schnittke,0.09526966827876648,Rarely,Not aware of movement,Not aware of others' movement,,
95,BEQ103,Virtual,Schnittke,0.09014220479393566,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
96,BEQ104,Virtual,Schnittke,0.13749861188874415,Continuously,Yes and I moved less than usual,Not aware of others' movement,,
97,BEQ105,Virtual,Schnittke,,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
98,BEQ106,Virtual,Schnittke,0.24857625128609642,Intermittently,Yes and I moved more than usual,Yes and they moved more than usual,,
99,BEQ107,Virtual,Schnittke,0.11144952493286671,Continuously,Yes and I moved a normal amount,Not aware of others' movement,,
100,BEQ108,Virtual,Schnittke,0.11482903921934126,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
101,BEQ109,Virtual,Schnittke,0.07561243325614457,Rarely,Not aware of movement,,,
102,BEQ110,Virtual,Schnittke,0.11074328448580811,Rarely,Not aware of movement,,,
103,BEQ111,Virtual,Schnittke,0.0834081243563371,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
104,BEQ112,Virtual,Schnittke,,,,,,
105,BEQ113,Virtual,Schnittke,,,,,,
106,BEQ114,Virtual,Schnittke,0.3246950407107933,Intermittently,Yes and I moved more than usual,Not aware of others' movement,,
107,BEQ115,Virtual,Schnittke,0.1600886848600743,,,,,
108,BEQ116,Virtual,Schnittke,0.17485409777866512,,,,,
109,BEQ117,Virtual,Schnittke,0.28841343682545206,,,,,
110,BEQ118,Virtual,Schnittke,0.1686563857638625,,,,,
111,BEQ119,Virtual,Schnittke,,,,,,
0,ADQ001,Hall,Bach,0.05634408497743503,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.1292287225824749,0.14914906115779664
1,ADQ002,Hall,Bach,0.13522696704083245,Intermittently,Not aware of movement,Not aware of others' movement,0.08226459245718656,0.10042837752344742
2,ADQ003,Hall,Bach,0.09590918295857281,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,0.0980793954112031,0.12416162501452181
3,ADQ004,Hall,Bach,0.12416162501452181,Not at all,Not aware of movement,Not aware of others' movement,0.10153001072176267,0.10862609281437903
4,ADQ005,Hall,Bach,0.0762362182722547,Not at all,Yes and I moved less than usual,Not aware of others' movement,0.04123690220795985,0.04123690220795985
