Moment_N,Prev_Beat_mm,Prev_Onset_mm,Low_Rest_mm,Next_Onset_mm,Next_Beat_mm,Prev_Beat,Prev_Onset,Low_Rest,Next_Onset,Next_Beat,Rest,Gap,Connect,Elide,Phr_end,Phr_begining,Rubato,Rit,Fermata,Precision,Cresc,Fp,Diminuendo,TextDec,Drone,TextInc,Piece
24,87,87.25,87.5,88,88.25,236.432,237.024,237.696,238.859,239.448,,1,,,1,1,,1,,1,,,1,,,,1
25,102.75,103,103.25,103.68,104,266.989,267.568,268.176,269.341,270.024,1,,,,1,1,,,,1,,1,,,,,1
26,108.75,109,109.25,109.5,109.75,280.635,281.344,281.952,282.875,283.428,1,,,,,,,,,1,,,,,,,1
27,113,113.25,113.5,113.75,113.75,290.173,290.616,291.192,291.804,291.804,,,1,,1,1,1,,,2,,,,,,,1
28,120.75,121,121.25,121.5,121.75,306.040,306.525,307.011,307.496,308.004,,,,1,1,1,,,,2,1,1,,1,,,1
29,124,124.25,124.5,125,125.25,312.349,312.84,313.451,314.533,314.946,,,,1,1,1,1,,,2,,,,1,,,1
30,134.5,134.75,135,135.25,135.25,332.584,333.088,333.648,334.208,334.208,,,,1,1,1,1,,,2,,1,1,1,,,1
31,144.5,144.75,145,145.25,145.25,351.400,351.885,352.440,352.956,352.956,,,,1,1,1,,,,2,,,1,1,, ,1
32,150.5,150.75,150.99,151,151.25,363.123,363.648,364.186,364.464,364.95,,1,,,1,1,1,,,2,1,1,,,,,1
33,158.75,159,159.25,159.68,160,379.251,379.776,380.400,381.547,382.293,1,,,,1,1,,,,1,1,1,,,,,1
34,160,160,160.25,160.68,161,382.293,382.293,382.824,383.824,384.608,1,,,,1,1,,,,1,,,,,,,1
35,161,161,161.25,161.68,162,384.608,384.608,385.200,386.120,386.811,1,,,,1,1,,,,1,,,,,,,1
36,162,162,162.25,162.68,163,386.811,386.811,387.384,388.341,389.144,1,,,,1,1,,,,1,,,,,,,1
37,163,163,163.25,163.5,163.75,389.144,389.144,389.797,390.824,391.236,1,,,,1,1,,,,1,,,,,,,1
38,164.75,165,165.25,165.5,165.75,393.144,393.552,394.165,394.688,395.19,,,1,,1,1,1,,,2,,1,,,,,1
39,177.5,177.75,178,178.25,178.5,417.872,418.413,419.197,419.688,420.224,,,1,1,1,1,1,,,2,,1,,,,,1
40,181.5,181.75,181.99,182,182.25,425.936,426.515,427.205,427.616,428.184,,1,,,1,1,1,,,1,1,1,,1,,,1
41,183,183.25,183.5,184,184.5,429.66,430.192,430.680,431.947,433.074,1,,,,1,,1,,,1,1,,,,,,1
42,185.25,185.5,185.67,185.68,186,434.597,435.251,435.922,436.875,437.568,,1,,,1,1,1,,,1,1,1,,,,,1
43,191.5,191.56,191.68,192.68,192,450.445,451.659,453.413,455.653,454.104,,1,1,,1,1,,1,1,1,,1,,,,,1
44,192.75,193,193.25,194,194,455.85,456.624,457.632,463.560,463.560,1,,,,1,,1,,1,1,,,1,,,,1
