TIME,LABEL,Set,Movement,Moment,Since,Type,end,Sequence,Rest,Gap,Connect,Elide,Phr_end,Phr_begining,Rubato,Rit,Fermata,Precision,Cresc,Fp,Diminuendo,TextDec,Drone,TextInc,revisedT,old_TIME,old_Ratio,Ratio,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
61.32,2.5,1,1,1,3.9,Rest,0.0,0.0,1,0,0,0,1.0,0.0,0,0,0,1,0,0,1,1,0,0,0,61.32,0.3826086957,0.4117647058823529,0.1087462324315025,0.0031393983736826767,-0.10560683405781982,0.18400000000000002,0.068,-0.11600000000000002,0.08955645422477229,0.10329356358815553,0.013737109363383238,0.06530713367531774,0.07505684788789971,0.009749714212581972
65.837,4.5,1,1,2,4.52,Rest_beat,0.0,0.0,1,0,0,0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,65.837,0.4956521739,0.5529411764705883,0.09103149347253349,0.009883616343291986,-0.0811478771292415,0.22800000000000004,0.16399999999999998,-0.06400000000000006,0.09371856338587056,0.07687643240227286,-0.0168421309835977,0.06523118351635485,0.061526223933184354,-0.003704959583170492
79.016,10.25,1,1,3,13.18,Rest_beat,0.0,0.0,1,0,0,0,1.0,0.0,1,0,0,1,0,0,1,1,0,0,0,79.016,0.5565217391,0.5529411764705883,0.0447344157507991,0.0027730318291523627,-0.04196138392164674,0.488,0.076,-0.412,0.09598262172476302,0.07999956714079903,-0.015983054583963985,0.07170115465146006,0.06623136386567306,-0.005469790785786993
88.74666667,13,1,1,4,9.24,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,0,0,0,2,0,0,1,0,0,0,1,88.256,0.4869565217,0.5411764705882353,0.047425322750974906,0.010802302748234386,-0.03662302000274052,0.172,0.14,-0.03199999999999997,0.0842737859562558,0.07445387212163534,-0.009819913834620456,0.06740255478693788,0.06550951811498174,-0.0018930366719561442
96.04266667,17 x,1,1,5,6.55,Low_onset,0.0,0.0,0,0,0,1,1.0,1.0,0,0,0,2,1,0,0,1,0,0,1,94.808,0.4086956522,0.4235294117647059,0.08051949752800705,0.039103356470802694,-0.041416141057204356,0.5,0.4,-0.09999999999999998,0.07214082876587988,0.08186691688446923,0.009726088118589354,0.06117331394305488,0.06650464941756162,0.005331335474506746
111.5733333,25.5,1,1,6,16.28,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,0,0,0,2,0,0,0,1,0,0,1,111.085,0.4260869565,0.49411764705882355,0.07086577159774464,0.016272930017277646,-0.054592841580467,0.40800000000000003,0.16799999999999998,-0.24000000000000005,0.09634122890007726,0.08278716025496603,-0.01355406864511123,0.07186246394587562,0.06503506122730983,-0.0068274027185657865
115.2853333,27.5,1,1,7,3.7,2nd in sequence,0.0,1.0,0,0,1,0,0.5,0.5,0,0,0,2,0,0,0,1,0,0,1,114.781,0.347826087,0.5176470588235295,0.014281803251222682,0.03668171450324696,0.022399911252024278,0.24,0.23200000000000004,-0.007999999999999952,0.07875321800441148,0.08591836357539619,0.007165145570984702,0.06076700313639151,0.06416079077283315,0.0033937876364416447
119.0186667,29.5,1,1,8,3.73,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,1,0,0,2,0,0,0,1,0,0,1,118.515,0.452173913,0.5058823529411764,0.02101168001894696,0.014141246002056903,-0.006870434016890057,0.25599999999999995,0.172,-0.08399999999999996,0.08705741951955578,0.08129593437860433,-0.005761485140951456,0.07281323954775076,0.06530059429823794,-0.007512645249512825
133.376,37,1,1,9,14.64,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,1,0,0,2,0,0,1,0,0,0,1,133.152,0.4,0.5058823529411764,0.05050177498788886,0.03237322601902198,-0.018128548968866877,0.43200000000000005,0.284,-0.14800000000000008,0.08605004052753959,0.08704697137866682,0.0009969308511272312,0.07161662525016002,0.07015513816291322,-0.0014614870872468044
139.1786667,40,1,1,10,5.67,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,0,0,0,2,1,1,0,0,0,0,1,138.824,0.4173913043,0.5058823529411764,0.051293112960737776,0.019664738499819232,-0.03162837446091854,0.5039999999999999,0.23200000000000004,-0.27199999999999985,0.09714412299977403,0.0885721089386523,-0.008572014061121722,0.07337064132383925,0.0713745228677473,-0.001996118456091947
146.165,44,1,1,11,7.34,Low_onset,0.0,0.0,0,0,1,1,1.0,1.0,0,0,0,2,0,0,1,0,0,0,0,146.165,0.5304347826,0.5529411764705883,0.12572617743909204,0.02106725199828305,-0.10465892544080899,0.5039999999999999,0.08,-0.4239999999999999,0.093364460660191,0.10869195607213285,0.015327495411941852,0.07209129578167996,0.07078263078315933,-0.0013086649985206283
149.893,46,1,1,12,3.73,Low_onset,0.0,0.0,0,0,1,1,1.0,1.0,0,0,0,2,0,0,0,1,0,0,0,149.893,0.4086956522,0.4117647058823529,0.024710999498411785,0.04203593225187903,0.017324932753467245,0.176,0.22400000000000003,0.04800000000000004,0.09343693324936173,0.09489255862217752,0.0014556253728157942,0.07113122898051256,0.0781543200842368,0.007023091103724233
151.872,47,1,1,13,1.98,Low_onset,0.0,0.0,0,0,1,0,1.0,1.0,1,0,0,2,0,0,1,0,0,0,0,151.872,0.5391304348,0.5764705882352941,0.040308648478327075,0.039311638265447355,-0.0009970102128797204,0.388,0.17200000000000001,-0.216,0.09758460044678906,0.08699851822591437,-0.01058608222087469,0.0804885290344132,0.07205216659585703,-0.008436362438556166
157.92,49.99,1,1,14,6.05,Gap,0.0,0.0,0,1,0,0,1.0,1.0,1,0,0,1,1,1,0,0,0,0,0,157.92,0.547826087,0.5529411764705883,0.04790860398535046,0.05246925580693873,0.0045606518215882685,0.276,0.10400000000000001,-0.17200000000000001,0.08627388696798372,0.0763743185200492,-0.00989956844793452,0.07164481675157691,0.06662124294172424,-0.005023573809852674
173.952,58.25,1,1,15,16.03,Rest,0.0,0.0,1,1,0,0,1.0,1.0,1,0,0,1,0,1,0,0,0,0,0,173.952,0.4695652174,0.49411764705882355,0.130996732554402,0.025306220203089876,-0.10569051235131213,0.6199999999999999,0.028000000000000004,-0.5919999999999999,0.0883600031828224,0.07839222336297166,-0.009967779819850739,0.06267265341405585,0.06215000050725502,-0.0005226529068008343
176.16,59.25,1,1,16,2.21,Rest,0.0,0.0,1,1,0,0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,176.16,0.5739130435,0.5529411764705883,0.11775123504888603,0.004507792124802873,-0.11324344292408316,0.048,0.11600000000000002,0.06800000000000002,0.08221374913031537,0.07774903781872067,-0.004464711311594705,0.06578676793376378,0.06127032050229799,-0.0045164474314657935
178.536,60.25,1,1,17,2.38,Rest,0.0,0.0,1,1,0,0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,178.536,0.4695652174,0.5058823529411764,0.011054062175734484,0.009872783750650971,-0.0011812784250835127,0.036,0.156,0.12,0.0802263860798346,0.08397276500412978,0.0037463789242951906,0.06446534010340062,0.06031147393772869,-0.004153866165671927
180.72,61.25,1,1,18,2.18,Rest,0.0,0.0,1,1,0,0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,180.72,0.4956521739,0.5294117647058824,0.030690551998875874,0.005146731280514739,-0.025543820718361136,0.044,0.10800000000000001,0.06400000000000002,0.07833136369621461,0.07276837828666868,-0.005562985409545931,0.06022685784740711,0.05977217284115961,-0.00045468500624749886
183.36,62.25,1,1,19,2.64,Rest,0.0,0.0,1,1,0,0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,183.36,0.5739130435,0.6470588235294118,0.0070298280298001755,0.006335493997927505,-0.0006943340318726707,0.06400000000000002,0.028000000000000004,-0.03600000000000001,0.07458074807451691,0.06554926818532929,-0.009031479889187621,0.06076420398946934,0.05609296121674543,-0.004671242772723912
193.032,66.25,1,1,20,9.67,Rest,0.0,0.0,1,1,0,0,1.0,1.0,0,0,0,1,0,0,1,1,0,0,0,193.032,0.4173913043,0.49411764705882355,0.050566351222699424,0.005525781103732816,-0.04504057011896661,0.144,0.068,-0.07599999999999998,0.07181637281563506,0.07666974071285329,0.004853367897218228,0.058232629372967505,0.0629065137853743,0.004673884412406799
