TIME,LABEL,Since,Set,Movement,Moment,PointType,Type,Rest,Gap,Connect,Elide,Phr_end,Phr_begining,Rubato,Rit,Fermata,Precision,Cresc,Fp,Diminuendo,TextDec,Drone,TextInc,Ratio,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
61.32,2.5,3.9,1,1,1,Low_Rest,Rest,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3826086956521739,0.1087462324315025,0.003268426723254613,-0.10547780570824788,0.18400000000000002,0.092,-0.09200000000000003,0.08843584037497139,0.1000613985830481,0.011625558208076717,0.06337146829061059,0.06845554323329937,0.005084074942688782
65.837,4.5,4.52,1,1,2,Low_Rest,Rest_beat,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956521739130435,0.09103149347253349,0.0165677233371478,-0.07446377013538569,0.22800000000000004,0.18,-0.04800000000000004,0.09657118073254879,0.0805922344973488,-0.015978946235199992,0.06038056515741225,0.057598640691255996,-0.0027819244661562506
79.016,10.25,13.18,1,1,3,Low_Rest,Rest_beat,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5565217391304348,0.0447344157507991,0.003089939601636972,-0.041644476149162134,0.488,0.10800000000000001,-0.38,0.12114551600169296,0.08949592160180263,-0.03164959439989033,0.06632788972871048,0.061813681738076075,-0.004514207990634407
88.256,13,9.24,1,1,4,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48695652173913045,0.049395582276493016,0.014763346254306267,-0.03463223602218675,0.176,0.1,-0.07599999999999998,0.08686930353994002,0.07814716060530663,-0.008722142934633387,0.06346911983432842,0.057300740549602616,-0.0061683792847258
94.808,17,6.55,1,1,5,Low_Rest,Low_onset,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.40869565217391307,0.07689141250801815,0.0732361059783994,-0.0036553065296187487,0.404,0.152,-0.252,0.07176931428926409,0.07441178988056604,0.002642475591301957,0.05377303901256849,0.061158574241299814,0.007385535228731324
111.085,25.5,16.28,1,1,6,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4260869565217391,0.0372161649812948,0.0302617300183285,-0.006954434962966299,0.4760000000000001,0.16399999999999998,-0.3120000000000001,0.09591194776116382,0.08187631718648161,-0.014035630574682212,0.05845129278992672,0.059973650295032266,0.0015223575051055427
114.781,27.5,3.7,1,1,7,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34782608695652173,0.014529822248029326,0.04111196598780126,0.026582143739771934,0.172,0.2,0.028000000000000025,0.07962274269416782,0.09479258943110039,0.015169846736932571,0.05684909885860536,0.06397904511311248,0.007129946254507115
118.515,29.5,3.73,1,1,8,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45217391304347826,0.027817764025234837,0.021614645751273982,-0.0062031182739608545,0.24400000000000005,0.18,-0.06400000000000006,0.1007052223592692,0.09111542660969177,-0.009589795749577426,0.0663658052356282,0.0627391042955368,-0.003626700940091404
133.152,37,14.64,1,1,9,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.04417731573024293,0.03237322601902198,-0.011804089711220947,0.4720000000000001,0.284,-0.1880000000000001,0.07933484153197501,0.08928039774537819,0.009945556213403178,0.06300787026469143,0.06622968815353976,0.00322181788884833
138.824,40,5.67,1,1,10,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41739130434782606,0.05167993422532097,0.024089503244535095,-0.027590430980785872,0.44399999999999995,0.22000000000000003,-0.22399999999999992,0.09838102079120722,0.09816692213247709,-0.00021409865873013578,0.06698063302184257,0.07061217487215368,0.003631541850311115
146.165,44,7.34,1,1,11,Low_Rest,Low_onset,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5304347826086957,0.12572617743909204,0.016452637253748105,-0.10927354018534394,0.5039999999999999,0.11199999999999999,-0.3919999999999999,0.13523878860886773,0.099660141998627,-0.03557864661024074,0.06903678600403576,0.06806320633077463,-0.0009735796732611296
149.893,46,3.73,1,1,12,Low_Rest,Low_onset,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40869565217391307,0.024710999498411785,0.05256567275205246,0.027854673253640678,0.176,0.21600000000000003,0.040000000000000036,0.08925346920859085,0.09826527626614602,0.009011807057555166,0.06919026339111249,0.07309936184002887,0.003909098448916376
151.872,47,1.98,1,1,13,Low_Rest,Low_onset,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5391304347826087,0.040308648478327075,0.054047194006544994,0.013738545528217919,0.388,0.21199999999999997,-0.17600000000000005,0.09701863260031501,0.09469892291442464,-0.0023197096858903754,0.07613919891569995,0.06847670331636278,-0.0076624955993371685
157.92,49.99,6.05,1,1,14,Low_Rest,Gap,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5478260869565217,0.04790860398535046,0.04477731330065368,-0.0031312906846967803,0.276,0.08,-0.196,0.09185079557601514,0.10673665728319678,0.014885861707181647,0.0666696720842664,0.06066694302109471,-0.006002729063171688
173.952,58.25,16.03,1,1,15,Low_Rest,Rest,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46956521739130436,0.130996732554402,0.011436996871752685,-0.11955973568264931,0.6199999999999999,0.044000000000000004,-0.5759999999999998,0.0992301867738025,0.07662875626693269,-0.022601430506869816,0.06114992440707666,0.06057723579020796,-0.0005726886168686968
176.16,59.25,2.21,1,1,16,Low_Rest,Rest,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5739130434782609,0.11775123504888603,0.003702980673563511,-0.11404825437532252,0.048,0.18400000000000002,0.136,0.08693751839904156,0.07756564521097128,-0.00937187318807027,0.06491728932629084,0.05897470484508769,-0.0059425844812031545
