,0
57.4,0.08682112379693449
57.5,0.0939725751495999
57.6,0.10560948969694903
57.7,0.10834134187663376
57.8,0.12102979581765178
57.9,0.10957724096788231
58.0,0.11532122645388726
58.1,0.09230513182858259
58.2,0.08981111992550868
58.3,0.08177051995745215
58.4,0.07992409891799067
58.5,0.08479132019817066
58.6,0.09132055283816831
58.7,0.09368225008726797
58.8,0.08365259550856124
58.9,0.08215669769262358
59.0,0.08837517878120522
59.1,0.0951594148447696
59.2,0.09516830350654673
59.3,0.09012799137440981
59.4,0.08588741291814811
59.5,0.08813457318609236
59.6,0.08279508300515882
59.7,0.08730672058319748
59.8,0.08592965395205204
59.9,0.07618619926536734
60.0,0.08628562751278443
60.1,0.09185972545829554
60.2,0.08128189858045183
60.3,0.08088527549370053
60.4,0.08691372293304549
60.5,0.10216906138806965
60.6,0.08870777873740601
60.7,0.09344801822032113
60.8,0.0926038788290776
60.9,0.1204839584418385
61.0,0.12255981123600261
61.1,0.09353871137521375
61.2,0.11720355376388165
61.3,0.10610856453735815
61.4,0.09732357272944567
61.5,0.10762020803357468
61.6,0.09603530071165862
61.7,0.10672971435805786
61.8,0.11330554776078458
61.9,0.10269087730736036
62.0,0.09607741072736016
62.1,0.09544593582349689
62.2,0.09653413593933986
62.3,0.08885128243940225
62.4,0.08465528113324927
62.5,0.10045945991563003
62.6,0.10057665500125726
62.7,0.09289725415365237
62.8,0.10725739191111047
62.9,0.11121822544271645
63.0,0.11105473381627903
63.1,0.10687291252716043
63.2,0.09316028613018831
63.3,0.0933481776304948
63.4,0.09381616459073505
63.5,0.09294440350378058
63.6,0.09438328064539118
63.7,0.0854875659235868
63.8,0.08342605711515515
63.9,0.09456092415955769
64.0,0.0973716708023599
64.1,0.0955097917636108
64.2,0.08554830647315018
64.3,0.08902940907591468
64.4,0.09306445566521171
64.5,0.10797873500240097
64.6,0.12238258342654672
64.7,0.09299596689956426
64.8,0.0940066637183973
64.9,0.0870386506132389
65.0,0.07916184992151902
65.1,0.07453149494150373
65.2,0.08204135251193077
65.3,0.08263025327036908
65.4,0.09197443726313802
65.5,0.07487793832687747
65.6,0.081513613677671
65.7,0.07039757039682225
65.8,0.08063060406535652
65.9,0.07449832993271636
66.0,0.07826940622431058
66.1,0.07973490145973021
66.2,0.08608530213151479
66.3,0.08010808893835696
66.4,0.08367200016900736
66.5,0.0753058625317639
66.6,0.08529407618165544
66.7,0.07684903517400696
66.8,0.08610534223042546
66.9,0.09165740479076158
67.0,0.08209821633174363
67.1,0.0805085251208307
67.2,0.07853747999349477
67.3,0.07792531255948267
67.4,0.07933753464762451
67.5,0.07545178700618718
67.6,0.0847334460619453
67.7,0.07802383104026969
67.8,0.07591095597518546
67.9,0.0731072016918436
68.0,0.07675846814756195
68.1,0.07546806645918684
68.2,0.07975178985945645
68.3,0.08898158165868203
68.4,0.08606422819716668
68.5,0.08543294111736166
68.6,0.08487861199416782
68.7,0.0871644851731983
68.8,0.08696176573834363
68.9,0.07618777225247095
69.0,0.07649273038724183
69.1,0.07875986233886825
69.2,0.08096602013180712
69.3,0.09773361737140744
69.4,0.09336129077768103
69.5,0.09485107831807404
69.6,0.09928601772128048
69.7,0.09650471909575745
69.8,0.09805261413224473
69.9,0.09659624077216887
70.0,0.09262833192804829
